,selected_columns
0,league
1,round
2,goals_home
3,goals_away
4,home_pred
5,draw_pred
6,away_pred
7,home_last5_forme
8,home_last5_att
9,home_last5_def
10,home_last5_goals
11,home_last5_goals_avg
12,home_last5_goals_against
13,home_last5_goals_against_avg
14,home_matches_played_total
15,home_matches_won_total
16,home_matches_draw_total
17,home_matches_lost_total
18,home_goals_fav_total
19,home_goals_ag_total
20,home_goalsavg_fav_total
21,home_goalsavg_ag_total
22,away_last5_forme
23,away_last5_att
24,away_last5_def
25,away_last5_goals
26,away_last5_goals_avg
27,away_last5_goals_against
28,away_last5_goals_against_avg
29,away_matches_played_total
30,away_matches_won_total
31,away_matches_draw_total
32,away_matches_lost_total
33,away_goals_fav_total
34,away_goals_ag_total
35,away_goalsavg_fav_total
36,away_goalsavg_ag_total
37,last_h2h_total
38,last_h2h_home_won_total
39,last_h2h_away_won_total
40,last_h2h_draw_away_total
41,comparison_forme_home
42,comparison_forme_away
43,comparison_att_home
44,comparison_att_away
45,comparison_def_home
46,comparison_def_away
47,comparison_fishlaw_home
48,comparison_fishlaw_away
49,comparison_h2h_home
50,comparison_h2h_away
51,comparison_goalsh2h_home
52,comparison_goalsh2h_away
53,advice_model
54,public
55,cum_ball_possession_home_avg/cum_ball_possession_away_avg
56,cum_blocked_shots_home_avg/cum_blocked_shots_away_avg
57,cum_corner_kicks_home_avg/cum_corner_kicks_away_avg
58,cum_fouls_home_avg/cum_fouls_away_avg
59,cum_goalkeeper_saves_home_avg/cum_goalkeeper_saves_away_avg
60,cum_offsides_home_avg/cum_offsides_away_avg
61,cum_passes_%_home_avg/cum_passes_%_away_avg
62,cum_passes_accurate_home_avg/cum_passes_accurate_away_avg
63,cum_red_cards_home_avg/cum_red_cards_away_avg
64,cum_shots_insidebox_home_avg/cum_shots_insidebox_away_avg
65,cum_shots_off_goal_home_avg/cum_shots_off_goal_away_avg
66,cum_shots_on_goal_home_avg/cum_shots_on_goal_away_avg
67,cum_shots_outsidebox_home_avg/cum_shots_outsidebox_away_avg
68,cum_total_shots_home_avg/cum_total_shots_away_avg
69,cum_total_passes_home_avg/cum_total_passes_away_avg
70,cum_yellow_cards_home_avg/cum_yellow_cards_away_avg
